lat,lon,temp,weather
39.3422,-75.5668,7.5,Rain: slight
41.0225,-74.6174,16.2,Partly cloudy
41.2763,-73.9304,-6.5,Mainly clear
40.0916,-74.3734,34.9,Thunderstorm: slight or moderate
39.8006,-75.0125,31.6,Drizzle: moderate
40.0251,-75.5095,15.2,Rain: slight
41.1557,-75.2028,13.6,Drizzle: moderate
39.7097,-74.5799,17.8,Overcast
39.8472,-75.262,-5.6,Overcast
39.7689,-74.6546,17.6,Clear sky
39.2784,-74.753,29.9,Clear sky
41.281,-75.4329,32.8,Drizzle: moderate
40.0522,-74.5878,6.9,Partly cloudy
41.3223,-74.242,16.5,Rain: moderate
39.5292,-73.9943,-5.9,Rain: slight
39.8841,-74.1973,31.7,Drizzle: moderate
39.82,-75.099,4.0,Drizzle: moderate
41.2861,-75.0719,22.4,Partly cloudy
41.3878,-74.1247,14.8,Overcast
40.0918,-75.3558,12.9,Thunderstorm: slight or moderate
41.2278,-75.2804,35.0,Fog
40.003,-74.5507,1.1,Thunderstorm: slight or moderate
40.6344,-74.1876,11.4,Snow fall: slight
39.317,-73.991,6.7,Clear sky
41.1895,-74.7946,6.8,Rain: slight
39.4597,-73.9915,32.4,Partly cloudy
40.7721,-75.0973,20.9,Overcast
39.1336,-74.4508,16.5,Mainly clear
41.1363,-74.2779,20.5,Rain: slight
39.0995,-75.5318,31.0,Clear sky
39.665,-74.4953,-5.0,Overcast
41.0531,-74.1373,11.9,Overcast
41.1676,-75.0431,-4.9,Mainly clear
40.0415,-73.9566,33.0,Mainly clear
40.4187,-75.4432,10.6,Rain: moderate
39.4198,-75.2983,30.1,Drizzle: moderate
39.0263,-75.5795,18.7,Mainly clear
40.2119,-74.5514,4.8,Snow fall: slight
39.3547,-75.2265,-6.8,Partly cloudy
40.255,-74.337,-7.0,Partly cloudy
39.0413,-74.5113,34.8,Mainly clear
40.4271,-74.5062,12.3,Rain: moderate
39.258,-74.0327,-2.8,Thunderstorm: slight or moderate
39.2678,-74.4492,-8.2,Mainly clear
39.591,-75.5576,31.1,Partly cloudy
41.3181,-75.466,5.8,Overcast
39.8151,-75.1258,0.5,Mainly clear
38.9436,-73.9572,16.6,Rain: moderate
39.2424,-73.9823,23.3,Rain: slight
39.4385,-74.9589,0.4,Thunderstorm: slight or moderate
40.9231,-74.3232,12.1,Drizzle: light
40.1454,-75.1975,24.7,Mainly clear
39.3626,-74.7097,12.9,Drizzle: light
39.4647,-74.5975,12.4,Partly cloudy
38.9059,-74.7022,33.6,Thunderstorm: slight or moderate
40.9815,-74.4299,13.9,Clear sky
39.1209,-75.2611,30.4,Mainly clear
39.6907,-74.7005,4.7,Fog
41.1792,-74.2859,19.2,Snow fall: slight
38.9434,-73.9961,-4.9,Drizzle: moderate
39.9772,-75.0289,30.8,Rain: moderate
40.313,-75.0573,25.0,Clear sky
39.6523,-74.4428,21.4,Drizzle: light
39.0935,-74.4364,10.4,Rain: slight
40.8254,-73.9347,32.0,Clear sky
40.0825,-75.1589,-8.4,Thunderstorm: slight or moderate
41.0835,-75.578,25.8,Drizzle: light
39.2027,-75.2369,23.7,Drizzle: light
40.7346,-75.1271,10.3,Overcast
40.3009,-75.3657,-0.5,Rain: moderate
39.5499,-74.4901,13.7,Drizzle: light
40.5531,-74.5986,-6.8,Mainly clear
39.4002,-74.0189,7.2,Overcast
39.1828,-74.6229,-5.8,Drizzle: light
40.4768,-74.0053,30.6,Rain: slight
40.9178,-74.9171,2.1,Rain: moderate
38.965,-74.1796,14.8,Overcast
39.4741,-75.3436,11.8,Rain: moderate
39.986,-74.7074,1.6,Clear sky
40.9122,-74.9234,-6.4,Snow fall: slight
41.0593,-75.5094,20.2,Thunderstorm: slight or moderate
41.3142,-74.6092,20.9,Rain: moderate
40.5729,-75.4371,-7.8,Thunderstorm: slight or moderate
40.2067,-75.0501,-7.0,Partly cloudy
38.9646,-74.6985,32.2,Clear sky
39.5865,-74.3166,28.5,Overcast
40.2332,-75.0538,5.4,Mainly clear
39.2729,-74.689,14.9,Snow fall: slight
39.7955,-74.7506,3.4,Overcast
39.1852,-75.1358,-4.3,Snow fall: slight
40.6296,-74.1375,19.5,Clear sky
40.8815,-75.0938,28.1,Partly cloudy
39.2224,-75.2727,8.9,Fog
39.2475,-74.727,19.5,Drizzle: light
41.259,-75.3197,25.7,Drizzle: moderate
39.6488,-74.5398,14.0,Snow fall: slight
40.2392,-74.9627,31.1,Overcast
40.203,-74.085,14.7,Partly cloudy
39.7249,-74.9775,30.5,Overcast
40.0381,-74.72,25.3,Partly cloudy
39.6482,-74.4679,-9.7,Partly cloudy
39.7939,-74.6465,15.6,Fog
40.9575,-73.9559,13.9,Rain: moderate
41.3866,-75.5512,9.0,Thunderstorm: slight or moderate
40.6698,-75.1262,1.1,Overcast
40.8964,-75.2624,-0.2,Rain: moderate
40.3885,-75.3918,24.7,Mainly clear
40.1755,-74.2648,20.7,Thunderstorm: slight or moderate
39.4149,-74.7774,23.0,Fog
40.4503,-74.2062,1.6,Rain: moderate
38.9411,-75.3444,12.6,Partly cloudy
40.4767,-74.1623,34.4,Mainly clear
41.2593,-74.2382,-8.1,Overcast
39.7178,-74.8004,-2.1,Clear sky
41.3521,-74.3698,22.0,Rain: moderate
39.7865,-74.1057,21.3,Rain: moderate
41.0723,-74.4578,20.2,Drizzle: light
39.8755,-75.4299,9.1,Clear sky
38.9619,-74.0957,8.9,Clear sky
41.3134,-74.1008,12.1,Drizzle: light
41.0223,-74.0757,34.3,Drizzle: moderate
40.167,-74.0616,13.1,Mainly clear
41.2141,-75.5075,-9.3,Clear sky
40.6706,-75.249,-6.1,Thunderstorm: slight or moderate
39.3826,-75.226,-0.7,Overcast
39.9208,-74.7589,10.9,Overcast
39.0544,-74.4705,-9.3,Partly cloudy
39.2485,-75.045,32.8,Mainly clear
40.3403,-74.7421,6.4,Fog
40.1977,-75.3385,10.3,Thunderstorm: slight or moderate
39.9484,-74.3249,7.5,Clear sky
40.6176,-74.8876,21.7,Rain: slight
40.0527,-75.388,22.3,Drizzle: light
41.0856,-74.3081,-7.7,Snow fall: slight
39.4271,-75.2282,-6.9,Mainly clear
39.5444,-74.6681,27.4,Snow fall: slight
40.8056,-74.5412,1.8,Clear sky
39.3743,-74.4724,20.2,Clear sky
39.5599,-75.2977,11.6,Snow fall: slight
41.2527,-74.3282,8.8,Snow fall: slight
40.4724,-74.7052,-8.7,Clear sky
39.7443,-75.5637,15.3,Drizzle: moderate
39.2839,-75.1797,34.9,Rain: moderate
40.7824,-73.9648,3.1,Snow fall: slight
41.295,-74.2419,1.9,Thunderstorm: slight or moderate
41.15,-74.9094,-2.8,Rain: slight
40.2979,-75.4766,15.6,Mainly clear
39.2878,-75.0176,-9.9,Snow fall: slight
39.6854,-74.6875,25.7,Thunderstorm: slight or moderate
39.3979,-74.1256,29.9,Drizzle: light
40.8068,-74.8055,20.4,Partly cloudy
39.0702,-74.1538,11.7,Snow fall: slight
40.5958,-75.4103,-7.8,Snow fall: slight
41.1414,-75.0186,6.4,Thunderstorm: slight or moderate
40.4319,-75.447,2.2,Drizzle: light
39.9,-75.366,33.5,Thunderstorm: slight or moderate
40.3242,-74.2272,7.8,Rain: moderate
41.2162,-74.4251,23.1,Rain: moderate
39.943,-73.9596,14.6,Fog
40.8406,-74.0175,-3.1,Partly cloudy
40.8997,-75.1501,34.7,Overcast
41.356,-74.7956,27.9,Fog
39.9232,-75.3233,23.1,Thunderstorm: slight or moderate
41.3819,-74.5154,3.0,Clear sky
39.4172,-74.7786,24.7,Rain: moderate
39.9744,-75.1971,-6.1,Rain: moderate
39.7315,-74.1695,18.6,Fog
39.6957,-74.2828,12.2,Clear sky
41.2536,-74.1633,33.3,Drizzle: light
41.329,-74.0449,22.8,Drizzle: moderate
39.6365,-75.1141,5.4,Fog
39.9727,-74.4413,19.1,Partly cloudy
39.7359,-75.1589,30.8,Rain: slight
39.0265,-75.4632,-0.4,Drizzle: light
41.0876,-74.7119,14.2,Mainly clear
40.5181,-75.3795,21.8,Fog
40.7999,-74.1518,-9.4,Clear sky
39.0776,-75.3626,2.5,Drizzle: moderate
38.9734,-75.5849,15.6,Clear sky
38.9129,-75.2426,23.1,Clear sky
40.1249,-74.653,28.5,Thunderstorm: slight or moderate
38.9617,-74.6332,15.0,Mainly clear
40.2639,-74.4126,3.8,Mainly clear
38.9483,-74.2256,11.5,Thunderstorm: slight or moderate
40.3498,-75.2036,27.2,Clear sky
39.8309,-75.538,19.4,Drizzle: light
41.0966,-73.902,-6.3,Clear sky
39.4994,-74.3115,-7.4,Thunderstorm: slight or moderate
41.3216,-74.2854,18.7,Mainly clear
39.3524,-75.1794,-8.1,Fog
39.6705,-74.1301,20.4,Overcast
40.7936,-73.9364,-3.4,Snow fall: slight
40.8015,-74.3788,12.0,Fog
41.1082,-75.2855,21.5,Snow fall: slight
40.393,-74.3118,10.1,Drizzle: light
40.8611,-74.4252,9.9,Fog
39.4563,-74.6115,-8.1,Mainly clear
39.5545,-75.3306,15.9,Clear sky
40.4855,-75.1747,9.5,Overcast
40.8272,-75.5585,5.7,Clear sky
41.312,-73.9132,0.9,Overcast
40.6124,-75.5056,-4.8,Drizzle: moderate
40.4841,-75.1245,4.7,Drizzle: moderate
40.635,-74.9107,-6.1,Drizzle: moderate
40.9191,-74.4862,19.0,Snow fall: slight
39.0928,-74.0791,9.2,Overcast
39.9186,-75.2132,-9.5,Thunderstorm: slight or moderate
39.3828,-74.8703,-6.4,Mainly clear
40.0992,-75.2867,29.5,Clear sky
38.914,-75.223,19.1,Drizzle: light
41.3342,-73.9609,2.0,Rain: slight
41.2941,-74.5341,31.8,Rain: slight
38.9995,-73.9406,16.4,Fog
40.0222,-74.6037,-8.9,Thunderstorm: slight or moderate
40.2436,-75.1898,-4.9,Rain: slight
41.1519,-74.0179,28.2,Drizzle: light
39.6096,-75.3036,15.6,Mainly clear
41.0719,-74.69,30.6,Rain: moderate
40.6499,-75.3186,14.3,Clear sky
41.1273,-75.5096,34.2,Thunderstorm: slight or moderate
41.0122,-74.7008,18.2,Clear sky
40.1112,-74.0029,30.6,Partly cloudy
40.234,-74.9332,8.3,Clear sky
41.2768,-74.8704,27.6,Drizzle: moderate
40.9243,-75.4326,20.4,Snow fall: slight
39.5612,-74.0153,22.7,Thunderstorm: slight or moderate
40.6018,-74.1196,-6.4,Mainly clear
39.8287,-75.1287,-0.6,Rain: slight
40.3672,-73.9166,24.0,Partly cloudy
40.5627,-74.2919,-0.8,Drizzle: light
39.8083,-75.1435,-0.9,Partly cloudy
39.7472,-74.3494,33.6,Rain: moderate
40.1225,-74.6803,-9.3,Snow fall: slight
40.7808,-75.1354,5.2,Thunderstorm: slight or moderate
39.3978,-74.9278,26.7,Snow fall: slight
40.2167,-74.9824,20.4,Snow fall: slight
41.2364,-74.4503,21.2,Clear sky
39.2532,-74.2109,27.8,Snow fall: slight
40.4699,-74.0673,-0.4,Clear sky
40.9958,-74.585,-0.5,Drizzle: moderate
40.8354,-74.8495,29.1,Fog
39.8337,-74.854,15.1,Overcast
40.6989,-75.3427,17.6,Overcast
39.1539,-74.3912,5.8,Snow fall: slight
41.1133,-74.4947,28.4,Drizzle: moderate
40.9,-74.7545,21.3,Overcast
39.9657,-74.2107,25.2,Rain: slight
40.228,-74.6085,19.8,Drizzle: moderate
41.3637,-75.169,2.4,Rain: slight
40.1686,-75.1766,28.6,Rain: slight
40.6881,-75.2411,-3.8,Rain: moderate
41.1857,-74.6239,16.0,Mainly clear
41.1423,-75.0614,34.9,Partly cloudy
39.3346,-75.4463,14.1,Partly cloudy
39.8898,-74.0442,34.7,Thunderstorm: slight or moderate
39.2765,-75.2654,14.1,Mainly clear
41.3455,-74.6702,8.0,Rain: slight
41.229,-75.5902,25.9,Mainly clear
38.9824,-75.2317,1.0,Thunderstorm: slight or moderate
39.7539,-74.1256,3.7,Fog
39.0382,-75.5026,15.7,Drizzle: moderate
41.2479,-74.1443,23.1,Partly cloudy
40.5284,-75.4804,-6.4,Drizzle: moderate
41.1046,-74.1356,16.6,Mainly clear
40.3816,-74.8911,10.8,Snow fall: slight
39.3147,-74.2015,24.2,Drizzle: light
39.33,-74.1663,4.7,Partly cloudy
40.3577,-74.5546,-6.8,Snow fall: slight
40.053,-74.5799,2.9,Drizzle: moderate
40.2918,-74.9863,29.3,Rain: slight
41.3777,-74.5784,5.0,Thunderstorm: slight or moderate
39.71,-75.0209,14.1,Thunderstorm: slight or moderate
40.4381,-75.5056,-1.6,Rain: moderate
39.2153,-74.4018,1.2,Thunderstorm: slight or moderate
39.4501,-74.2818,8.3,Overcast
40.6838,-75.4965,23.3,Drizzle: light
38.9142,-75.1454,15.3,Drizzle: moderate
39.0275,-74.9439,4.5,Drizzle: moderate
39.9482,-74.1878,-9.8,Snow fall: slight
40.4082,-74.4004,34.2,Thunderstorm: slight or moderate
39.7408,-74.7043,32.9,Snow fall: slight
39.4366,-74.4384,29.3,Mainly clear
39.3329,-74.6546,22.8,Thunderstorm: slight or moderate
39.8177,-74.6833,11.8,Snow fall: slight
39.5988,-74.6885,-4.4,Rain: moderate
41.0663,-74.722,32.8,Drizzle: moderate
40.1149,-74.7566,20.4,Snow fall: slight
40.5685,-74.8629,22.5,Drizzle: moderate
40.4214,-75.4162,-5.8,Drizzle: moderate
40.7997,-73.9432,-6.9,Drizzle: moderate
41.0554,-74.9875,-3.2,Snow fall: slight
38.993,-74.9709,7.8,Overcast
39.849,-73.9188,-4.8,Rain: slight
41.1703,-74.5281,28.3,Fog
39.188,-74.5656,-0.8,Drizzle: moderate
40.9047,-75.4865,10.3,Overcast
40.6822,-75.096,10.0,Overcast
40.943,-75.3852,-0.0,Rain: slight
41.0994,-75.151,22.0,Drizzle: light
39.7748,-74.2947,22.8,Clear sky
40.4947,-74.5901,-0.4,Fog
41.2523,-75.2599,9.1,Clear sky
39.7765,-75.4441,32.3,Overcast
41.1687,-75.0841,13.1,Partly cloudy
39.3744,-74.8582,16.9,Overcast
39.6334,-75.2603,27.0,Drizzle: moderate
40.8993,-74.5291,-6.5,Partly cloudy
40.1936,-74.1137,-4.8,Overcast
40.1234,-75.4039,24.3,Clear sky
39.9855,-75.2224,23.5,Thunderstorm: slight or moderate
39.5591,-75.4728,14.8,Mainly clear
40.7872,-74.8055,6.4,Partly cloudy
40.9484,-75.5678,11.6,Thunderstorm: slight or moderate
40.7113,-74.7147,-8.1,Rain: slight
40.1906,-74.6029,5.5,Fog
41.2161,-74.938,13.1,Drizzle: light
40.5851,-74.3927,14.2,Partly cloudy
40.0397,-75.5572,-1.1,Clear sky
40.1619,-74.1119,3.8,Overcast
38.9944,-74.8458,17.4,Rain: moderate
41.1486,-75.1009,28.5,Fog
39.555,-75.0775,6.0,Snow fall: slight
38.9728,-74.9235,2.9,Snow fall: slight
40.7631,-75.565,28.8,Rain: slight
39.3554,-74.3528,-2.6,Overcast
39.0832,-74.1453,-2.5,Clear sky
39.9746,-74.422,30.8,Mainly clear
39.223,-74.2407,-8.8,Rain: moderate
41.0119,-75.0488,16.3,Partly cloudy
41.1651,-74.628,-4.7,Drizzle: moderate
39.9727,-74.3805,19.2,Fog
39.0989,-75.0127,-6.1,Rain: moderate
39.6935,-74.3533,6.1,Partly cloudy
39.4624,-74.086,20.1,Partly cloudy
40.1797,-73.9594,-6.8,Drizzle: moderate
41.2631,-74.9069,24.4,Snow fall: slight
40.9482,-74.424,10.3,Rain: moderate
40.6996,-74.1802,25.7,Snow fall: slight
40.7489,-74.5236,9.8,Drizzle: moderate
39.9703,-75.008,26.1,Drizzle: moderate
41.0774,-75.2506,10.4,Snow fall: slight
39.9267,-74.985,6.8,Partly cloudy
41.3394,-75.4917,24.7,Clear sky
39.6684,-75.3716,13.1,Thunderstorm: slight or moderate
39.0121,-75.0933,1.4,Thunderstorm: slight or moderate
39.0934,-75.5977,31.9,Drizzle: moderate
39.0241,-75.2353,6.8,Overcast
40.2596,-74.0487,6.2,Clear sky
39.7851,-74.3308,8.8,Clear sky
40.309,-74.9946,11.5,Rain: slight
40.7894,-74.8855,14.8,Fog
39.2913,-74.5447,1.6,Drizzle: moderate
40.425,-74.7761,-2.7,Drizzle: moderate
41.1681,-75.354,27.2,Drizzle: moderate
38.9123,-75.5371,-4.6,Partly cloudy
39.0267,-74.2007,28.0,Snow fall: slight
40.543,-74.9059,8.1,Mainly clear
39.0533,-74.3244,15.8,Rain: slight
39.2429,-75.4506,7.1,Overcast
40.736,-74.1769,10.0,Overcast
39.6823,-74.5269,-2.0,Snow fall: slight
39.9268,-74.8883,1.8,Rain: moderate
40.1842,-74.6417,13.7,Rain: slight
40.2681,-75.3367,-1.8,Thunderstorm: slight or moderate
40.4773,-75.5094,19.8,Drizzle: moderate
40.3667,-74.4811,-3.0,Rain: slight
39.4167,-74.653,15.5,Rain: slight
40.3607,-75.0657,30.6,Rain: moderate
39.7527,-75.249,3.4,Partly cloudy
39.2863,-75.1203,-8.7,Clear sky
39.8558,-75.3359,22.6,Rain: moderate
40.3114,-74.2633,25.2,Rain: moderate
41.1517,-75.2675,27.7,Rain: slight
40.2706,-75.2548,24.2,Fog
40.6054,-74.6347,11.4,Drizzle: light
40.8589,-75.4984,0.5,Overcast
40.0737,-74.9652,18.8,Thunderstorm: slight or moderate
40.2235,-74.9048,20.6,Rain: slight
40.953,-74.5469,12.9,Thunderstorm: slight or moderate
39.4669,-74.1809,12.5,Overcast
39.9609,-75.1702,4.5,Overcast
40.1073,-74.9762,-4.6,Clear sky
41.0451,-74.7776,9.9,Drizzle: light
40.7582,-74.0416,-8.8,Thunderstorm: slight or moderate
39.5605,-75.106,13.7,Rain: slight
39.6975,-75.4725,10.4,Thunderstorm: slight or moderate
39.6209,-75.3429,4.2,Partly cloudy
40.7007,-75.3597,7.1,Clear sky
40.9576,-75.3857,-6.9,Drizzle: light
39.2329,-75.4879,-8.7,Snow fall: slight
39.7308,-74.9754,2.7,Mainly clear
39.4122,-74.6421,2.5,Drizzle: moderate
40.1693,-74.8115,-4.2,Clear sky
39.2102,-74.9104,14.4,Drizzle: light
39.4632,-74.7476,21.2,Fog
41.2276,-74.1669,-9.7,Overcast
41.2112,-74.4037,6.9,Overcast
41.1549,-74.0441,23.1,Fog
39.6404,-75.3784,19.9,Rain: moderate
39.716,-74.2737,17.4,Mainly clear
39.6746,-75.1161,21.5,Snow fall: slight
40.5025,-73.9308,1.5,Drizzle: moderate
39.0615,-75.0027,12.5,Drizzle: moderate
40.5033,-74.1025,30.5,Overcast
39.4623,-74.2973,14.7,Drizzle: light
40.6455,-75.2138,5.1,Rain: moderate
39.818,-75.4098,-1.8,Rain: slight
39.5454,-75.2984,12.8,Mainly clear
39.0054,-74.486,27.9,Partly cloudy
39.0393,-74.0227,-8.6,Clear sky
39.3753,-74.6762,20.8,Fog
38.9731,-74.9512,20.0,Drizzle: moderate
40.4052,-74.8394,3.4,Overcast
39.6132,-74.8733,31.7,Thunderstorm: slight or moderate
40.1436,-75.4566,14.6,Overcast
40.1689,-75.544,-2.9,Snow fall: slight
40.7718,-74.1772,-9.1,Drizzle: light
41.0908,-74.7824,31.6,Thunderstorm: slight or moderate
39.0519,-75.3997,4.5,Rain: moderate
40.4794,-74.9291,3.1,Drizzle: moderate
40.384,-74.8828,-6.9,Drizzle: light
39.3697,-75.4612,16.7,Overcast
39.9769,-75.1059,7.5,Overcast
41.2422,-74.6185,-9.9,Rain: slight
38.9595,-74.7821,10.6,Fog
39.6861,-75.5487,2.6,Thunderstorm: slight or moderate
39.974,-75.5151,28.5,Rain: slight
40.4737,-75.2894,30.4,Partly cloudy
39.833,-74.5405,9.3,Partly cloudy
39.9117,-75.0038,24.8,Overcast
41.0439,-74.2015,8.4,Fog
39.4765,-74.1058,3.9,Rain: moderate
39.9284,-74.6892,28.8,Partly cloudy
39.3073,-74.8151,-9.7,Rain: slight
39.4313,-75.4088,34.0,Drizzle: light
40.8579,-74.0775,-0.8,Drizzle: light
41.0159,-74.3112,24.2,Partly cloudy
39.342,-75.5562,26.3,Drizzle: light
39.4944,-73.9479,33.9,Drizzle: light
41.0512,-74.807,-7.8,Snow fall: slight
39.3232,-74.6467,32.7,Mainly clear
38.9229,-75.0819,-3.5,Fog
40.4262,-74.9343,-8.9,Overcast
40.5392,-74.8259,8.3,Rain: slight
40.4045,-75.3178,5.6,Rain: moderate
40.9464,-74.9922,9.1,Rain: moderate
39.4161,-74.6624,19.5,Overcast
40.181,-74.0325,29.0,Partly cloudy
40.3322,-74.6535,-7.1,Rain: slight
41.2438,-75.3454,5.3,Clear sky
39.634,-74.5846,6.6,Thunderstorm: slight or moderate
40.3223,-73.9186,25.4,Overcast
40.5788,-74.2847,14.3,Thunderstorm: slight or moderate
41.1952,-73.9988,18.7,Rain: slight
40.2136,-75.2665,30.6,Rain: slight
39.8273,-74.749,11.9,Fog
40.2746,-75.3453,-1.1,Partly cloudy
40.475,-75.4531,-6.3,Mainly clear
39.1186,-74.2792,3.3,Fog
40.6891,-74.3463,26.8,Thunderstorm: slight or moderate
39.425,-74.8657,5.5,Thunderstorm: slight or moderate
39.964,-74.553,16.1,Drizzle: moderate
39.6839,-74.2473,11.2,Partly cloudy
41.2535,-74.422,30.9,Snow fall: slight
41.2054,-75.4135,26.8,Rain: slight
41.3631,-74.1639,2.8,Overcast
40.8804,-74.7022,-6.7,Partly cloudy
40.3111,-74.0912,25.1,Snow fall: slight
40.6044,-74.3732,-8.5,Rain: moderate
39.35,-75.4178,16.6,Rain: moderate
41.2031,-75.4028,23.0,Thunderstorm: slight or moderate
40.7351,-75.2732,14.6,Overcast
39.2009,-74.5182,5.2,Snow fall: slight
41.1799,-74.8425,26.7,Rain: moderate
40.6346,-73.953,-1.8,Thunderstorm: slight or moderate
41.0994,-74.3963,15.3,Clear sky
