incident_id,date,lat,lon,crime_type
145,2023-06-10,41.3223,-74.242,Homicide
146,2014-06-26,39.5292,-73.9943,Kidnapping
147,2020-09-05,39.8841,-74.1973,Kidnapping
148,2020-08-07,39.82,-75.099,Cybercrime
149,2019-07-06,41.2861,-75.0719,Assault
150,2022-10-11,41.3878,-74.1247,Weapons Violation
151,2024-06-26,40.0918,-75.3558,Kidnapping
152,2022-06-23,41.2278,-75.2804,Human Trafficking
153,2018-02-05,40.003,-74.5507,Identity Theft
154,2010-12-25,40.6344,-74.1876,Sexual Assault
155,2012-03-30,39.317,-73.991,Kidnapping
156,2013-09-02,41.1895,-74.7946,Kidnapping
157,2020-03-07,39.4597,-73.9915,Shoplifting
158,2010-10-07,40.7721,-75.0973,Trespassing
159,2010-02-28,39.1336,-74.4508,Fraud
160,2015-12-31,41.1363,-74.2779,Public Intoxication
161,2019-05-18,39.0995,-75.5318,DUI
162,2022-05-14,39.665,-74.4953,Sexual Assault
163,2019-10-29,41.0531,-74.1373,Drug Possession
164,2012-09-12,41.1676,-75.0431,Sexual Assault
165,2014-01-01,40.0415,-73.9566,Burglary
166,2021-01-03,40.4187,-75.4432,Human Trafficking
167,2018-04-10,39.4198,-75.2983,Kidnapping
168,2024-01-29,39.0263,-75.5795,Cybercrime
169,2018-06-06,40.2119,-74.5514,Identity Theft
170,2020-12-29,39.3547,-75.2265,Human Trafficking
171,2017-04-05,40.255,-74.337,DUI
172,2023-05-21,39.0413,-74.5113,DUI
173,2023-01-23,40.4271,-74.5062,Identity Theft
174,2015-08-09,39.258,-74.0327,Domestic Violence
175,2015-07-28,39.2678,-74.4492,Homicide
176,2019-03-17,39.591,-75.5576,Trespassing
177,2023-09-07,41.3181,-75.466,Public Intoxication
178,2022-02-09,39.8151,-75.1258,Shoplifting
179,2019-02-16,38.9436,-73.9572,Fraud
180,2014-04-08,39.2424,-73.9823,Weapons Violation
181,2019-01-19,39.4385,-74.9589,Public Intoxication
182,2020-07-26,40.9231,-74.3232,Drug Possession
183,2020-01-05,40.1454,-75.1975,Homicide
184,2011-05-04,39.3626,-74.7097,Fraud
185,2012-12-23,39.4647,-74.5975,Homicide
186,2020-08-05,38.9059,-74.7022,Cybercrime
187,2017-04-27,40.9815,-74.4299,DUI
188,2013-11-17,39.1209,-75.2611,Sexual Assault
189,2024-05-07,39.6907,-74.7005,Fraud
190,2011-02-20,41.1792,-74.2859,Human Trafficking
191,2023-08-16,38.9434,-73.9961,Arson
192,2020-07-11,39.9772,-75.0289,Shoplifting
193,2023-08-20,40.313,-75.0573,Weapons Violation
194,2023-02-08,39.6523,-74.4428,Trespassing
195,2012-07-03,39.0935,-74.4364,Identity Theft
196,2013-11-18,40.8254,-73.9347,Identity Theft
197,2022-07-24,40.0825,-75.1589,Fraud
198,2021-06-21,41.0835,-75.578,Identity Theft
199,2018-02-28,39.2027,-75.2369,Shoplifting
200,2019-04-22,40.7346,-75.1271,Identity Theft
201,2024-04-13,40.3009,-75.3657,Burglary
202,2011-04-05,39.5499,-74.4901,Sexual Assault
203,2021-09-18,40.5531,-74.5986,Trespassing
204,2020-10-26,39.4002,-74.0189,Identity Theft
205,2012-01-08,39.1828,-74.6229,Public Intoxication
206,2017-08-05,40.4768,-74.0053,Public Intoxication
207,2012-07-05,40.9178,-74.9171,Vandalism
208,2010-03-23,38.965,-74.1796,Shoplifting
209,2012-12-15,39.4741,-75.3436,Drug Possession
210,2017-11-20,39.986,-74.7074,Drug Possession
211,2016-10-17,40.9122,-74.9234,Drug Possession
212,2010-10-06,41.0593,-75.5094,DUI
213,2016-11-29,41.3142,-74.6092,Assault
214,2024-10-13,40.5729,-75.4371,Sexual Assault
215,2013-06-30,40.2067,-75.0501,Identity Theft
216,2024-03-06,38.9646,-74.6985,Shoplifting
217,2013-11-07,39.5865,-74.3166,Shoplifting
218,2015-11-14,40.2332,-75.0538,Identity Theft
219,2021-07-15,39.2729,-74.689,DUI
220,2021-01-22,39.7955,-74.7506,Kidnapping
221,2018-02-03,39.1852,-75.1358,DUI
222,2018-10-09,40.6296,-74.1375,Drug Possession
223,2015-05-12,40.8815,-75.0938,Sexual Assault
224,2016-03-03,39.2224,-75.2727,Human Trafficking
225,2012-08-19,39.2475,-74.727,Domestic Violence
226,2010-05-13,41.259,-75.3197,Homicide
227,2017-05-19,39.6488,-74.5398,Domestic Violence
228,2015-03-26,40.2392,-74.9627,Robbery
229,2010-06-24,40.203,-74.085,Vandalism
230,2023-07-10,39.7249,-74.9775,Drug Possession
231,2011-02-01,40.0381,-74.72,DUI
232,2012-01-01,39.6482,-74.4679,Identity Theft
233,2019-12-24,39.7939,-74.6465,Trespassing
234,2012-05-18,40.9575,-73.9559,Burglary
235,2010-06-13,41.3866,-75.5512,Assault
236,2024-01-13,40.6698,-75.1262,Shoplifting
237,2013-11-22,40.8964,-75.2624,Kidnapping
238,2020-11-17,40.3885,-75.3918,Trespassing
239,2020-12-26,40.1755,-74.2648,DUI
240,2012-12-03,39.4149,-74.7774,Shoplifting
241,2015-09-28,40.4503,-74.2062,Identity Theft
242,2012-10-08,38.9411,-75.3444,Weapons Violation
243,2011-04-05,40.4767,-74.1623,Public Intoxication
244,2023-05-10,41.2593,-74.2382,Arson
245,2022-09-24,39.7178,-74.8004,Human Trafficking
246,2018-05-30,41.3521,-74.3698,Identity Theft
247,2023-03-28,39.7865,-74.1057,Fraud
248,2019-08-13,41.0723,-74.4578,Fraud
249,2011-12-29,39.8755,-75.4299,Shoplifting
250,2020-09-16,38.9619,-74.0957,Sexual Assault
251,2022-12-14,41.3134,-74.1008,Shoplifting
252,2018-02-09,41.0223,-74.0757,Shoplifting
253,2018-08-14,40.167,-74.0616,Identity Theft
254,2023-02-03,41.2141,-75.5075,Kidnapping
255,2014-03-17,40.6706,-75.249,Drug Possession
256,2015-05-30,39.3826,-75.226,Public Intoxication
257,2023-01-24,39.9208,-74.7589,Weapons Violation
258,2022-03-19,39.0544,-74.4705,Vandalism
259,2024-11-23,39.2485,-75.045,Domestic Violence
260,2021-02-09,40.3403,-74.7421,Fraud
261,2011-04-02,40.1977,-75.3385,Cybercrime
262,2017-04-14,39.9484,-74.3249,Vandalism
263,2018-03-05,40.6176,-74.8876,Cybercrime
264,2017-01-22,40.0527,-75.388,Public Intoxication
265,2017-03-30,41.0856,-74.3081,Domestic Violence
266,2020-09-30,39.4271,-75.2282,Burglary
267,2020-03-14,39.5444,-74.6681,Identity Theft
268,2020-10-01,40.8056,-74.5412,Public Intoxication
269,2014-06-08,39.3743,-74.4724,DUI
270,2013-06-28,39.5599,-75.2977,Robbery
271,2016-02-23,41.2527,-74.3282,Public Intoxication
272,2012-11-28,40.4724,-74.7052,Theft
273,2013-06-27,39.7443,-75.5637,Trespassing
274,2024-01-28,39.2839,-75.1797,Identity Theft
275,2019-12-08,40.7824,-73.9648,Arson
276,2019-01-15,41.295,-74.2419,Kidnapping
277,2010-12-05,41.15,-74.9094,Public Intoxication
278,2023-04-24,40.2979,-75.4766,Trespassing
279,2015-09-04,39.2878,-75.0176,Arson
280,2022-07-05,39.6854,-74.6875,Homicide
281,2022-02-22,39.3979,-74.1256,Theft
282,2023-06-08,40.8068,-74.8055,Fraud
283,2019-01-28,39.0702,-74.1538,Public Intoxication
284,2023-01-26,40.5958,-75.4103,Shoplifting
285,2018-03-18,41.1414,-75.0186,Sexual Assault
286,2022-09-18,40.4319,-75.447,Robbery
287,2018-10-21,39.9,-75.366,Cybercrime
288,2011-03-05,40.3242,-74.2272,Identity Theft
289,2017-10-01,41.2162,-74.4251,Theft
290,2022-08-29,39.943,-73.9596,Cybercrime
291,2012-10-15,40.8406,-74.0175,Shoplifting
292,2018-06-09,40.8997,-75.1501,Fraud
293,2023-01-22,41.356,-74.7956,Shoplifting
294,2018-06-24,39.9232,-75.3233,Homicide
295,2023-02-02,41.3819,-74.5154,Identity Theft
296,2012-12-06,39.4172,-74.7786,Human Trafficking
297,2020-10-04,39.9744,-75.1971,Assault
298,2020-04-21,39.7315,-74.1695,Trespassing
299,2016-07-10,39.6957,-74.2828,Public Intoxication
300,2022-03-10,41.2536,-74.1633,DUI
301,2018-02-05,41.329,-74.0449,Arson
302,2010-07-10,39.6365,-75.1141,Robbery
303,2019-08-27,39.9727,-74.4413,Human Trafficking
304,2016-02-15,39.7359,-75.1589,Robbery
305,2011-05-28,39.0265,-75.4632,Arson
306,2018-08-08,41.0876,-74.7119,Theft
307,2017-02-01,40.5181,-75.3795,Vandalism
308,2022-08-16,40.7999,-74.1518,Robbery
309,2013-07-01,39.0776,-75.3626,Fraud
310,2013-07-14,38.9734,-75.5849,Vandalism
311,2013-09-16,38.9129,-75.2426,Domestic Violence
312,2023-08-05,40.1249,-74.653,Domestic Violence
313,2018-10-15,38.9617,-74.6332,Arson
314,2023-12-03,40.2639,-74.4126,Arson
315,2016-06-18,38.9483,-74.2256,Fraud
316,2013-08-10,40.3498,-75.2036,Identity Theft
317,2014-11-11,39.8309,-75.538,Sexual Assault
318,2016-02-10,41.0966,-73.902,Drug Possession
319,2014-01-25,39.4994,-74.3115,Assault
320,2012-10-07,41.3216,-74.2854,Cybercrime
321,2013-01-20,39.3524,-75.1794,Arson
322,2016-12-29,39.6705,-74.1301,DUI
323,2022-09-14,40.7936,-73.9364,Identity Theft
324,2015-08-10,40.8015,-74.3788,Theft
325,2021-03-25,41.1082,-75.2855,Burglary
326,2023-08-15,40.393,-74.3118,Homicide
327,2016-05-30,40.8611,-74.4252,Domestic Violence
328,2010-10-17,39.4563,-74.6115,Burglary
329,2019-05-09,39.5545,-75.3306,Burglary
330,2021-10-15,40.4855,-75.1747,Identity Theft
331,2016-08-19,40.8272,-75.5585,Shoplifting
332,2024-09-05,41.312,-73.9132,DUI
333,2022-04-01,40.6124,-75.5056,Kidnapping
334,2012-06-26,40.4841,-75.1245,Robbery
335,2015-08-08,40.635,-74.9107,Sexual Assault
336,2019-05-18,40.9191,-74.4862,Drug Possession
337,2015-07-08,39.0928,-74.0791,Assault
338,2017-01-16,39.9186,-75.2132,Arson
339,2016-09-29,39.3828,-74.8703,Identity Theft
340,2012-06-02,40.0992,-75.2867,Kidnapping
341,2019-11-10,38.914,-75.223,Robbery
342,2019-11-01,41.3342,-73.9609,Trespassing
343,2021-02-16,41.2941,-74.5341,Vandalism
344,2015-04-11,38.9995,-73.9406,Homicide
345,2015-05-03,40.0222,-74.6037,Arson
346,2010-11-04,40.2436,-75.1898,Trespassing
347,2024-04-06,41.1519,-74.0179,DUI
348,2019-04-08,39.6096,-75.3036,Homicide
349,2012-09-24,41.0719,-74.69,Public Intoxication
350,2018-03-23,40.6499,-75.3186,Cybercrime
351,2015-09-20,41.1273,-75.5096,Shoplifting
352,2023-10-15,41.0122,-74.7008,Human Trafficking
353,2021-02-20,40.1112,-74.0029,DUI
354,2011-03-30,40.234,-74.9332,Shoplifting
355,2021-11-28,41.2768,-74.8704,Homicide
356,2022-10-25,40.9243,-75.4326,Human Trafficking
357,2022-03-09,39.5612,-74.0153,Vandalism
358,2011-06-04,40.6018,-74.1196,Cybercrime
359,2019-12-21,39.8287,-75.1287,Assault
360,2017-07-28,40.3672,-73.9166,Domestic Violence
361,2016-06-05,40.5627,-74.2919,Homicide
362,2019-11-27,39.8083,-75.1435,Human Trafficking
363,2024-04-22,39.7472,-74.3494,Theft
364,2015-07-26,40.1225,-74.6803,Kidnapping
365,2012-10-23,40.7808,-75.1354,Burglary
366,2011-04-27,39.3978,-74.9278,Trespassing
367,2011-11-23,40.2167,-74.9824,DUI
368,2011-12-30,41.2364,-74.4503,Kidnapping
369,2023-05-24,39.2532,-74.2109,Assault
370,2019-07-20,40.4699,-74.0673,Burglary
371,2024-12-25,40.9958,-74.585,Theft
372,2010-08-20,40.8354,-74.8495,Weapons Violation
373,2016-03-13,39.8337,-74.854,Identity Theft
374,2018-09-02,40.6989,-75.3427,Weapons Violation
375,2023-06-03,39.1539,-74.3912,Theft
376,2018-04-21,41.1133,-74.4947,Assault
377,2016-12-13,40.9,-74.7545,Human Trafficking
378,2021-07-27,39.9657,-74.2107,DUI
379,2015-12-25,40.228,-74.6085,Trespassing
380,2021-09-28,41.3637,-75.169,Public Intoxication
381,2024-05-01,40.1686,-75.1766,Homicide
382,2010-09-10,40.6881,-75.2411,Shoplifting
383,2019-03-02,41.1857,-74.6239,Assault
384,2019-08-06,41.1423,-75.0614,Weapons Violation
385,2012-08-23,39.3346,-75.4463,Sexual Assault
386,2016-07-09,39.8898,-74.0442,Arson
387,2012-10-21,39.2765,-75.2654,Domestic Violence
388,2023-08-18,41.3455,-74.6702,Shoplifting
389,2022-05-20,41.229,-75.5902,Assault
390,2018-01-13,38.9824,-75.2317,Drug Possession
391,2010-09-07,39.7539,-74.1256,Drug Possession
392,2020-12-01,39.0382,-75.5026,Theft
393,2019-06-04,41.2479,-74.1443,Homicide
394,2023-02-02,40.5284,-75.4804,Arson
395,2022-06-18,41.1046,-74.1356,Weapons Violation
396,2011-08-06,40.3816,-74.8911,Domestic Violence
397,2018-05-23,39.3147,-74.2015,Assault
398,2022-11-22,39.33,-74.1663,Identity Theft
399,2015-11-21,40.3577,-74.5546,Kidnapping
400,2018-01-30,40.053,-74.5799,Theft
401,2010-02-12,40.2918,-74.9863,Sexual Assault
402,2012-04-04,41.3777,-74.5784,Drug Possession
403,2013-07-28,39.71,-75.0209,Assault
404,2017-12-23,40.4381,-75.5056,DUI
405,2010-01-17,39.2153,-74.4018,Shoplifting
406,2015-01-24,39.4501,-74.2818,Cybercrime
407,2010-07-29,40.6838,-75.4965,Cybercrime
408,2014-08-11,38.9142,-75.1454,Assault
409,2012-07-06,39.0275,-74.9439,Sexual Assault
410,2014-12-08,39.9482,-74.1878,Drug Possession
411,2020-08-14,40.4082,-74.4004,Weapons Violation
412,2018-11-05,39.7408,-74.7043,Sexual Assault
413,2023-10-02,39.4366,-74.4384,Vandalism
414,2019-09-30,39.3329,-74.6546,Human Trafficking
415,2024-01-25,39.8177,-74.6833,Human Trafficking
416,2016-06-09,39.5988,-74.6885,Trespassing
417,2022-06-30,41.0663,-74.722,Vandalism
418,2017-08-12,40.1149,-74.7566,Burglary
419,2020-04-01,40.5685,-74.8629,Domestic Violence
420,2013-07-02,40.4214,-75.4162,Homicide
421,2023-04-10,40.7997,-73.9432,Identity Theft
422,2011-12-31,41.0554,-74.9875,Homicide
423,2016-12-26,38.993,-74.9709,Theft
424,2018-03-14,39.849,-73.9188,Assault
425,2018-05-10,41.1703,-74.5281,Human Trafficking
426,2014-11-20,39.188,-74.5656,Robbery
427,2010-12-20,40.9047,-75.4865,Public Intoxication
428,2015-06-10,40.6822,-75.096,Weapons Violation
429,2011-11-09,40.943,-75.3852,Domestic Violence
430,2024-01-17,41.0994,-75.151,Cybercrime
431,2015-04-15,39.7748,-74.2947,Theft
432,2013-10-04,40.4947,-74.5901,Burglary
433,2023-12-03,41.2523,-75.2599,Arson
434,2018-08-06,39.7765,-75.4441,Burglary
435,2022-05-08,41.1687,-75.0841,Shoplifting
436,2017-06-12,39.3744,-74.8582,Arson
437,2013-06-03,39.6334,-75.2603,Human Trafficking
438,2023-07-29,40.8993,-74.5291,Fraud
439,2023-04-21,40.1936,-74.1137,Shoplifting
440,2023-12-22,40.1234,-75.4039,Kidnapping
441,2013-07-31,39.9855,-75.2224,Kidnapping
442,2015-07-29,39.5591,-75.4728,Domestic Violence
443,2012-05-15,40.7872,-74.8055,Fraud
444,2021-12-22,40.9484,-75.5678,Weapons Violation
445,2017-02-01,40.7113,-74.7147,Domestic Violence
446,2017-11-20,40.1906,-74.6029,Cybercrime
447,2017-09-16,41.2161,-74.938,Kidnapping
448,2020-02-06,40.5851,-74.3927,Vandalism
449,2014-03-19,40.0397,-75.5572,Kidnapping
450,2023-01-20,40.1619,-74.1119,DUI
451,2010-06-11,38.9944,-74.8458,Assault
452,2011-10-25,41.1486,-75.1009,Drug Possession
453,2013-11-12,39.555,-75.0775,Assault
454,2010-05-30,38.9728,-74.9235,Human Trafficking
455,2023-09-22,40.7631,-75.565,Human Trafficking
456,2021-05-01,39.3554,-74.3528,Theft
457,2011-07-06,39.0832,-74.1453,Trespassing
458,2022-12-21,39.9746,-74.422,Robbery
459,2016-07-08,39.223,-74.2407,Robbery
460,2024-12-02,41.0119,-75.0488,Cybercrime
461,2018-07-07,41.1651,-74.628,Robbery
462,2021-05-06,39.9727,-74.3805,Public Intoxication
463,2019-09-27,39.0989,-75.0127,Kidnapping
464,2012-04-18,39.6935,-74.3533,Burglary
465,2023-11-02,39.4624,-74.086,Vandalism
466,2014-11-08,40.1797,-73.9594,Human Trafficking
467,2013-12-26,41.2631,-74.9069,Weapons Violation
468,2022-02-03,40.9482,-74.424,Fraud
469,2015-05-20,40.6996,-74.1802,Cybercrime
470,2018-01-30,40.7489,-74.5236,Vandalism
471,2012-03-27,39.9703,-75.008,Fraud
472,2015-09-04,41.0774,-75.2506,Vandalism
473,2019-02-13,39.9267,-74.985,Homicide
474,2023-09-12,41.3394,-75.4917,DUI
475,2015-06-04,39.6684,-75.3716,Cybercrime
476,2017-06-27,39.0121,-75.0933,Shoplifting
477,2010-09-22,39.0934,-75.5977,Robbery
478,2013-02-11,39.0241,-75.2353,Arson
479,2015-10-16,40.2596,-74.0487,Shoplifting
480,2014-03-28,39.7851,-74.3308,Shoplifting
481,2010-08-09,40.309,-74.9946,Assault
482,2014-12-10,40.7894,-74.8855,Kidnapping
483,2017-02-01,39.2913,-74.5447,Domestic Violence
484,2023-12-02,40.425,-74.7761,Public Intoxication
485,2010-07-22,41.1681,-75.354,Shoplifting
486,2020-09-19,38.9123,-75.5371,Vandalism
487,2014-09-14,39.0267,-74.2007,Cybercrime
488,2013-11-05,40.543,-74.9059,Trespassing
489,2010-02-23,39.0533,-74.3244,Fraud
490,2017-05-17,39.2429,-75.4506,Public Intoxication
491,2020-04-25,40.736,-74.1769,Weapons Violation
492,2014-07-05,39.6823,-74.5269,Cybercrime
493,2017-05-22,39.9268,-74.8883,Assault
494,2013-05-03,40.1842,-74.6417,Homicide
495,2012-12-17,40.2681,-75.3367,Public Intoxication
496,2010-08-18,40.4773,-75.5094,Public Intoxication
497,2012-11-23,40.3667,-74.4811,Burglary
498,2012-10-21,39.4167,-74.653,Robbery
499,2024-05-07,40.3607,-75.0657,Vandalism
500,2013-03-08,39.7527,-75.249,DUI
501,2017-10-05,39.2863,-75.1203,DUI
502,2014-05-20,39.8558,-75.3359,Assault
503,2011-11-03,40.3114,-74.2633,Robbery
504,2022-02-05,41.1517,-75.2675,Burglary
505,2020-11-28,40.2706,-75.2548,Sexual Assault
506,2021-09-14,40.6054,-74.6347,DUI
507,2020-11-23,40.8589,-75.4984,Fraud
508,2017-03-28,40.0737,-74.9652,Identity Theft
509,2023-07-09,40.2235,-74.9048,Trespassing
510,2017-09-05,40.953,-74.5469,Vandalism
511,2012-07-04,39.4669,-74.1809,Homicide
512,2019-06-27,39.9609,-75.1702,Drug Possession
513,2020-08-09,40.1073,-74.9762,Human Trafficking
514,2023-10-21,41.0451,-74.7776,Public Intoxication
515,2018-08-13,40.7582,-74.0416,Human Trafficking
516,2024-06-15,39.5605,-75.106,Weapons Violation
517,2012-12-24,39.6975,-75.4725,Fraud
518,2010-03-31,39.6209,-75.3429,Sexual Assault
519,2019-10-07,40.7007,-75.3597,Cybercrime
520,2018-12-25,40.9576,-75.3857,Kidnapping
521,2010-10-09,39.2329,-75.4879,Vandalism
522,2022-02-08,39.7308,-74.9754,Fraud
523,2020-12-26,39.4122,-74.6421,Drug Possession
524,2020-05-09,40.1693,-74.8115,Drug Possession
525,2022-03-25,39.2102,-74.9104,Vandalism
526,2023-12-20,39.4632,-74.7476,Arson
527,2022-02-14,41.2276,-74.1669,Domestic Violence
528,2024-07-19,41.2112,-74.4037,Domestic Violence
529,2018-05-24,41.1549,-74.0441,Homicide
530,2023-10-19,39.6404,-75.3784,Sexual Assault
531,2024-09-13,39.716,-74.2737,Burglary
532,2011-05-09,39.6746,-75.1161,DUI
533,2014-11-21,40.5025,-73.9308,Sexual Assault
534,2011-02-12,39.0615,-75.0027,Sexual Assault
535,2015-11-26,40.5033,-74.1025,Cybercrime
536,2015-10-11,39.4623,-74.2973,Shoplifting
